"example_id","design_block","G","theta_true","theta_CV","sigma","mean_nsamp","N_h","n_h","requested_rate","realized_rate","inclusion_probability"
167,"Poisson","4","0.5","0.2","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
168,"Poisson","8","0.5","0.2","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
169,"Poisson","2","0.5","0.6","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
170,"Poisson","4","0.5","0.6","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
171,"Poisson","8","0.5","0.6","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
172,"Poisson","2","1","0","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
173,"Poisson","4","1","0","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
174,"Poisson","8","1","0","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
175,"Poisson","2","1","0.2","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
176,"Poisson","4","1","0.2","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
177,"Poisson","8","1","0.2","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
178,"Poisson","2","1","0.6","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
179,"Poisson","4","1","0.6","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
180,"Poisson","8","1","0.6","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
181,"Poisson","2","2","0","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
182,"Poisson","4","2","0","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
183,"Poisson","8","2","0","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
184,"Poisson","2","2","0.2","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
185,"Poisson","4","2","0.2","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
186,"Poisson","8","2","0.2","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
187,"Poisson","2","2","0.6","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
188,"Poisson","4","2","0.6","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
189,"Poisson","8","2","0.6","0.25","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
190,"Poisson","2","0.5","0","0.5","100",43758,876,0.02,0.0200191964897847,0.0200191964897847
