"GEN","Nsamp","rep","FIT","conv","rmse_p","theta_hat","p1_hat","p2_hat","p3_hat"
"DMstrong",25,12,"DM",TRUE,0.111526257542906,0.756606210614186,0.291942257535835,0.365011415542892,0.343046326921274
"MN",125,12,"MN",TRUE,0.0117756811551038,NA,0.184,0.304,0.512
"MN",125,12,"DM",TRUE,0.0117770587236432,13847.6891776167,0.183998400208738,0.303999516181568,0.512002083609694
"DMstrong",125,12,"MN",TRUE,0.218088666983561,NA,0.26,0.532,0.208
"DMstrong",125,12,"DM",TRUE,0.355146570587163,6.61882030724111e+125,2.03246546625956e-05,0.000991432931103201,0.998988242414234
"MN",250,12,"MN",TRUE,0.0364783040541452,NA,0.214,0.336,0.45
"MN",250,12,"DM",TRUE,0.0364783918505696,10384.1496679296,0.213999843020775,0.336000228542267,0.449999928436958
"DMstrong",250,12,"MN",TRUE,0.0922749514584899,NA,0.202,0.186,0.612
"DMstrong",250,12,"DM",TRUE,0.0972178406103158,0.0527719430861662,0.226132661909313,0.17003723716845,0.603830100922238
"MN",25,13,"MN",TRUE,0.0163299316185545,NA,0.22,0.3,0.48
"MN",25,13,"DM",FALSE,0.0163367435830289,2535.09582696077,0.220019251809417,0.299978164345884,0.480002583844699
"DMstrong",25,13,"MN",TRUE,0.155777619273972,NA,0.42,0.2,0.38
"DMstrong",25,13,"DM",TRUE,0.151079574473847,0.869317253645013,0.411895252455727,0.217777007064156,0.370327740480117
"MN",125,13,"MN",TRUE,0.0149666295470958,NA,0.196,0.32,0.484
"MN",125,13,"DM",TRUE,0.0149672857504153,2263.84938129173,0.195999375960102,0.320001026438283,0.483999597601615
"DMstrong",125,13,"MN",TRUE,0.15276997959896,NA,0.312,0.084,0.604
"DMstrong",125,13,"DM",TRUE,0.151659566908401,0.528152729408561,0.308944399451798,0.0855300667797453,0.605525533768457
"MN",250,13,"MN",TRUE,0.0155777619273972,NA,0.202,0.28,0.518
"MN",250,13,"DM",TRUE,0.0155235317102311,8.12375724033748,0.201803975289403,0.280149943588159,0.518046081122438
"DMstrong",250,13,"MN",TRUE,0.0351378238749451,NA,0.244,0.298,0.458
"DMstrong",250,13,"DM",TRUE,0.0632079820024942,0.0316326122744609,0.285381312465885,0.280230885915079,0.434387801619035
"MN",25,14,"MN",TRUE,0.0864098759787715,NA,0.28,0.34,0.38
"MN",25,14,"DM",TRUE,0.0864097744350631,126707.402729231,0.28000018172425,0.339999608324452,0.380000209951297
"DMstrong",25,14,"MN",TRUE,0.14142135623731,NA,0.1,0.5,0.4
"DMstrong",25,14,"DM",TRUE,0.141398936727226,274.834749544192,0.10005132015325,0.499968289831543,0.399980390015207
"MN",125,14,"MN",TRUE,0.0149666295470958,NA,0.204,0.28,0.516
"MN",125,14,"DM",TRUE,0.0149675030433464,1348.8669286777,0.203999768206172,0.279998987828053,0.516001243965776
"DMstrong",125,14,"MN",TRUE,0.0228619042659763,NA,0.22,0.312,0.468
"DMstrong",125,14,"DM",TRUE,0.0247443586230743,0.317153163816443,0.214566096286959,0.32027228808601,0.46516161562703
"MN",250,14,"MN",TRUE,0.0277608837515427,NA,0.234,0.266,0.5
"MN",250,14,"DM",TRUE,0.0277627960509688,397.459792877005,0.234003316935844,0.26599863286187,0.499998050202286
"DMstrong",250,14,"MN",TRUE,0.0231516738055805,NA,0.168,0.322,0.51
"DMstrong",250,14,"DM",TRUE,0.0243663421051875,0.453749348156168,0.165998477974254,0.321848473497137,0.512153048528609
"MN",25,15,"MN",TRUE,0.0748331477354788,NA,0.18,0.22,0.6
"MN",25,15,"DM",TRUE,0.0754730815638734,1.06475542578787,0.16487847299265,0.230273090739277,0.604848436268073
"DMstrong",25,15,"MN",TRUE,0.101980390271856,NA,0.24,0.4,0.36
"DMstrong",25,15,"DM",TRUE,0.101977680668976,12103.1087585362,0.240001618480011,0.399995332036163,0.360003049483826
"MN",125,15,"MN",TRUE,0.0259229627936315,NA,0.176,0.336,0.488
"MN",125,15,"DM",TRUE,0.025922255960239,11044.7525920788,0.17600337606629,0.335999698613053,0.487996925320658
"DMstrong",125,15,"MN",TRUE,0.065564217883436,NA,0.108,0.356,0.536
"DMstrong",125,15,"DM",TRUE,0.0591644029333913,0.0614500222142063,0.121280289710632,0.36391683522501,0.514802875064358
"MN",250,15,"MN",TRUE,0.0279045993819418,NA,0.196,0.268,0.536
"MN",250,15,"DM",TRUE,0.0279025731481684,1449.75234106691,0.196001728414039,0.268001477775449,0.535996793810512
"DMstrong",250,15,"MN",TRUE,0.186554728341757,NA,0.45,0.248,0.302
"DMstrong",250,15,"DM",TRUE,0.183576743214092,0.0182075348150579,0.415072827805155,0.318393685869318,0.266533486325527
