"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","p_lbound","p_ubound"
71,"hake_ex71.inp","Poisson",1,"mean_nsamp",1,"sigma",0,"theta_true",1,"G",0,3,4,0.1,2,0,50,100,5,2057960418,1,0.5,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
72,"hake_ex72.inp","Poisson",1,"mean_nsamp",1,"sigma",0,"theta_true",1,"G",1,3,8,0.1,2,0,50,100,5,2057960418,1,0.5,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
73,"hake_ex73.inp","Poisson",1,"mean_nsamp",1,"sigma",1,"theta_true",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,2057960418,1,1,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
74,"hake_ex74.inp","Poisson",1,"mean_nsamp",1,"sigma",1,"theta_true",-1,"G",0,3,4,0.1,0.5,0,50,100,5,2057960418,1,1,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
75,"hake_ex75.inp","Poisson",1,"mean_nsamp",1,"sigma",1,"theta_true",-1,"G",1,3,8,0.1,0.5,0,50,100,5,2057960418,1,1,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
76,"hake_ex76.inp","Poisson",1,"mean_nsamp",1,"sigma",1,"theta_true",0,"G",-1,3,2,0.1,1,0,50,100,5,2057960418,1,1,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
77,"hake_ex77.inp","Poisson",1,"mean_nsamp",1,"sigma",1,"theta_true",0,"G",0,3,4,0.1,1,0,50,100,5,2057960418,1,1,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
78,"hake_ex78.inp","Poisson",1,"mean_nsamp",1,"sigma",1,"theta_true",0,"G",1,3,8,0.1,1,0,50,100,5,2057960418,1,1,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
79,"hake_ex79.inp","Poisson",1,"mean_nsamp",1,"sigma",1,"theta_true",1,"G",-1,3,2,0.1,2,0,50,100,5,2057960418,1,1,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
80,"hake_ex80.inp","Poisson",1,"mean_nsamp",1,"sigma",1,"theta_true",1,"G",0,3,4,0.1,2,0,50,100,5,2057960418,1,1,100,1,25,"0.36, 0.01, 0.0","0.97, 0.59, 0.21"
