"experiment","file","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
99,"hake_ex99.lst","Lognormal","(ii)","(ii)","(ii)",NA,7e-07,1,1,1,NA,4e-07,1,1,1,NA,4e-07,1,1,1,42.178,4,NA,NA,NA,NA,40.468,4,NA,NA,NA,NA,40.468,4,NA,NA,NA,NA
100,"hake_ex100.lst","Lognormal","(iv)","(iv)","(iv)",NA,0.32,0.843,0.181,0.936,NA,0.192,1,0.118,1,NA,0.192,1,0.118,1,15.791,4,NA,NA,NA,NA,18.695,4,NA,NA,NA,NA,18.695,4,NA,NA,NA,NA
101,"hake_ex101.lst","Lognormal","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,2.2154,4,NA,NA,NA,NA,2.5231,4,NA,NA,NA,NA,2.5231,4,NA,NA,NA,NA
102,"hake_ex102.lst","Lognormal","(iv)","(iv)","(iv)",NA,0.5,0.24,0.18,0.47,NA,0.5,0.2,0.16,0.37,NA,0.5,0.2,0.16,0.37,12.271,4,NA,NA,NA,NA,14.794,4,NA,NA,NA,NA,14.794,4,NA,NA,NA,NA
103,"hake_ex103.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.08714,0.27538,0.19078,0.27538,NA,0.08557,0.2497,0.2497,0.2497,NA,0.08557,0.2497,0.2497,0.2497,27.138,4,NA,NA,NA,NA,29.058,4,NA,NA,NA,NA,29.058,4,NA,NA,NA,NA
104,"hake_ex104.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.002,0.1453,0.2502,0.4686,NA,0.0029,0.109,0.2652,0.4948,NA,0.0029,0.109,0.2652,0.4948,16.702,4,NA,NA,NA,NA,15.114,4,NA,NA,NA,NA,15.114,4,NA,NA,NA,NA
105,"hake_ex105.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0082,0.2068,0.073,0.2068,NA,0.0088,0.2138,0.0758,0.2138,NA,0.0088,0.2138,0.0758,0.2138,13.182,4,NA,NA,NA,NA,13.625,4,NA,NA,NA,NA,13.625,4,NA,NA,NA,NA
106,"hake_ex106.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0128,0.9364,0.2073,0.9364,NA,0.0365,0.9333,0.2904,0.9333,NA,0.0365,0.9333,0.2904,0.9333,27.975,4,NA,NA,NA,NA,26.043,4,NA,NA,NA,NA,26.043,4,NA,NA,NA,NA
107,"hake_ex107.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.97,1,1,1,NA,1,1,1,1,NA,1,1,1,1,5.28,4,NA,NA,NA,NA,2.5231,4,NA,NA,NA,NA,2.5231,4,NA,NA,NA,NA
108,"hake_ex108.lst","Lognormal","(ii)","(ii)","(ii)",NA,1.6e-05,0.186,0.108,0.153,NA,1.3e-05,0.332,0.158,0.166,NA,1.3e-05,0.332,0.158,0.166,32.542,4,NA,NA,NA,NA,37.009,4,NA,NA,NA,NA,37.009,4,NA,NA,NA,NA
109,"hake_ex109.lst","Lognormal","(iii)","(iii)","(iii)",NA,1,0.32,1,1,NA,1,0.559,1,1,NA,1,0.559,1,1,10.88,4,NA,NA,NA,NA,9.76,4,NA,NA,NA,NA,9.76,4,NA,NA,NA,NA
110,"hake_ex110.lst","Lognormal","(v)","(v)","(v)",NA,1,0.507,0.07,0.036,NA,0.775,0.599,0.05,0.025,NA,0.775,0.599,0.05,0.025,11.545,4,NA,NA,NA,NA,12.394,4,NA,NA,NA,NA,12.394,4,NA,NA,NA,NA
111,"hake_ex111.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.029,0.177,1,1,NA,0.056,0.138,0.791,0.791,NA,0.056,0.138,0.791,0.791,17.945,4,NA,NA,NA,NA,16.935,4,NA,NA,NA,NA,16.935,4,NA,NA,NA,NA
112,"hake_ex112.lst","Lognormal","(v)","(v)","(v)",NA,1,0.838,1,0.066,NA,1,0.56,1,0.04,NA,1,0.56,1,0.04,5.6369,4,NA,NA,NA,NA,12.591,4,NA,NA,NA,NA,12.591,4,NA,NA,NA,NA
113,"hake_ex113.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.29,1,1,1,NA,0.19,1,1,1,NA,0.19,1,1,1,3.4092,4,NA,NA,NA,NA,8.4308,4,NA,NA,NA,NA,8.4308,4,NA,NA,NA,NA
114,"hake_ex114.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0911,1,1,1,NA,0.113,1,1,1,NA,0.113,1,1,1,11.077,4,NA,NA,NA,NA,13.354,4,NA,NA,NA,NA,13.354,4,NA,NA,NA,NA
115,"hake_ex115.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.333,0.214,1,1,NA,0.592,0.506,0.958,0.648,NA,0.592,0.506,0.958,0.648,16.135,4,NA,NA,NA,NA,9.7477,4,NA,NA,NA,NA,9.7477,4,NA,NA,NA,NA
116,"hake_ex116.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.128,0.83,1,0.245,NA,0.158,1,1,0.87,NA,0.158,1,1,0.87,19.508,4,NA,NA,NA,NA,17.883,4,NA,NA,NA,NA,17.883,4,NA,NA,NA,NA
117,"hake_ex117.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.00795,0.4594,0.4594,0.4594,NA,0.00661,0.2497,0.2497,0.24487,NA,0.00661,0.2497,0.2497,0.24487,37.698,4,NA,NA,NA,NA,37.822,4,NA,NA,NA,NA,37.822,4,NA,NA,NA,NA
118,"hake_ex118.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.00611,0.53319,0.36904,0.53319,NA,0.011,0.505,0.505,0.505,NA,0.011,0.505,0.505,0.505,24.025,4,NA,NA,NA,NA,20.025,4,NA,NA,NA,NA,20.025,4,NA,NA,NA,NA
119,"hake_ex119.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.209,0.415,0.209,0.415,NA,0.309,0.457,0.309,0.426,NA,0.309,0.457,0.309,0.426,22.634,4,NA,NA,NA,NA,15.668,4,NA,NA,NA,NA,15.668,4,NA,NA,NA,NA
120,"hake_ex120.lst","Lognormal","(v)","(iv)","(iv)",NA,0.34,0.35,0.34,0.2,NA,0.28,0.21,0.15,0.15,NA,0.28,0.21,0.15,0.15,7.7908,4,NA,NA,NA,NA,7.6923,4,NA,NA,NA,NA,7.6923,4,NA,NA,NA,NA
121,"hake_ex121.lst","Lognormal","(ii)","(iii)","(iii)",NA,0.286,0.286,1,1,NA,0.582,0.203,0.86,0.86,NA,0.582,0.203,0.86,0.86,15.889,4,NA,NA,NA,NA,14.338,4,NA,NA,NA,NA,14.338,4,NA,NA,NA,NA
122,"hake_ex122.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.072,0.933,0.592,0.933,NA,0.098,0.943,0.85,0.943,NA,0.098,0.943,0.85,0.943,11.557,4,NA,NA,NA,NA,8.7631,4,NA,NA,NA,NA,8.7631,4,NA,NA,NA,NA
123,"hake_ex123.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.095,0.797,0.797,0.797,NA,0.11,0.55,0.55,0.48,NA,0.11,0.55,0.55,0.48,7.8277,4,NA,NA,NA,NA,10.929,4,NA,NA,NA,NA,10.929,4,NA,NA,NA,NA
124,"hake_ex124.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.707,1,1,1,NA,0.584,1,1,1,NA,0.584,1,1,1,18.228,4,NA,NA,NA,NA,15.668,4,NA,NA,NA,NA,15.668,4,NA,NA,NA,NA
125,"hake_ex125.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.093,0.838,0.945,0.945,NA,0.074,1,1,1,NA,0.074,1,1,1,14.486,4,NA,NA,NA,NA,13.969,4,NA,NA,NA,NA,13.969,4,NA,NA,NA,NA
126,"hake_ex126.lst","Lognormal","(v)","(v)","(v)",NA,0.66,1,0.8,0.43,NA,0.76,1,0.84,0.34,NA,0.76,1,0.84,0.34,6.4862,4,NA,NA,NA,NA,6.56,4,NA,NA,NA,NA,6.56,4,NA,NA,NA,NA
127,"hake_ex127.lst","Lognormal","(iv)","(iv)","(iv)",NA,0.47816,0.23352,0.00154,0.06759,NA,0.41658,0.19246,0.00122,0.17203,NA,0.41658,0.19246,0.00122,0.17203,18.338,4,NA,NA,NA,NA,19.495,4,NA,NA,NA,NA,19.495,4,NA,NA,NA,NA
128,"hake_ex128.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0334,0.3427,0.309,0.3427,NA,0.0265,0.2502,0.1779,0.261,NA,0.0265,0.2502,0.1779,0.261,13.748,4,NA,NA,NA,NA,16.209,4,NA,NA,NA,NA,16.209,4,NA,NA,NA,NA
129,"hake_ex129.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0057,1,1,0.6057,NA,0.011,1,0.891,0.473,NA,0.011,1,0.891,0.473,12.492,4,NA,NA,NA,NA,12.948,4,NA,NA,NA,NA,12.948,4,NA,NA,NA,NA
130,"hake_ex130.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0547,0.3239,0.1109,0.2059,NA,0.046,0.199,0.115,0.139,NA,0.046,0.199,0.115,0.139,11.138,4,NA,NA,NA,NA,11.015,4,NA,NA,NA,NA,11.015,4,NA,NA,NA,NA
131,"hake_ex131.lst","Lognormal","(ii)","(v)","(v)",NA,0.012,0.025,0.016,0.013,NA,0.0115,0.0244,0.017,0.0071,NA,0.0115,0.0244,0.017,0.0071,16.554,4,NA,NA,NA,NA,17.046,4,NA,NA,NA,NA,17.046,4,NA,NA,NA,NA
132,"hake_ex132.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0029,0.0569,0.0557,0.1477,NA,0.0043,0.1054,0.1004,0.2255,NA,0.0043,0.1054,0.1004,0.2255,21.058,4,NA,NA,NA,NA,18.314,4,NA,NA,NA,NA,18.314,4,NA,NA,NA,NA
133,"hake_ex133.lst","Lognormal","(ii)","(ii)","(ii)",NA,2.9e-05,1,0.021,0.0613,NA,4.6e-05,0.94448,0.00492,0.05501,NA,4.6e-05,0.94448,0.00492,0.05501,41.637,4,NA,NA,NA,NA,46.88,4,NA,NA,NA,NA,46.88,4,NA,NA,NA,NA
134,"hake_ex134.lst","Lognormal","(ii)","(ii)","(ii)",NA,1.2e-05,1,1,1,NA,9.8e-06,1,1,1,NA,9.8e-06,1,1,1,44.775,4,NA,NA,NA,NA,48.406,4,NA,NA,NA,NA,48.406,4,NA,NA,NA,NA
135,"hake_ex135.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.12,1,1,1,NA,0.075,1,1,1,NA,0.075,1,1,1,2.3138,4,NA,NA,NA,NA,3.8892,4,NA,NA,NA,NA,3.8892,4,NA,NA,NA,NA
136,"hake_ex136.lst","Lognormal","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,9.76,4,NA,NA,NA,NA,11.508,4,NA,NA,NA,NA,11.508,4,NA,NA,NA,NA
137,"hake_ex137.lst","Lognormal","(iii)","(iii)","(iii)",NA,1,0.67,1,1,NA,1,0.95,0.95,0.95,NA,1,0.95,0.95,0.95,8.1969,4,NA,NA,NA,NA,8.7508,4,NA,NA,NA,NA,8.7508,4,NA,NA,NA,NA
138,"hake_ex138.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.016,0.536,0.968,0.673,NA,0.0088,0.5976,1,0.8703,NA,0.0088,0.5976,1,0.8703,12.234,4,NA,NA,NA,NA,14.129,4,NA,NA,NA,NA,14.129,4,NA,NA,NA,NA
139,"hake_ex139.lst","Lognormal","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,6.1169,4,NA,NA,NA,NA,5.2677,4,NA,NA,NA,NA,5.2677,4,NA,NA,NA,NA
140,"hake_ex140.lst","Lognormal","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,3.9508,4,NA,NA,NA,NA,4.9969,4,NA,NA,NA,NA,4.9969,4,NA,NA,NA,NA
141,"hake_ex141.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.083,0.268,0.19,0.19,NA,0.1,0.28,0.22,0.24,NA,0.1,0.28,0.22,0.24,20.148,4,NA,NA,NA,NA,17.834,4,NA,NA,NA,NA,17.834,4,NA,NA,NA,NA
142,"hake_ex142.lst","Lognormal","(iii)","(iii)","(iii)",NA,1,0.67,1,1,NA,1,0.92,1,1,NA,1,0.92,1,1,8.4923,4,NA,NA,NA,NA,10.178,4,NA,NA,NA,NA,10.178,4,NA,NA,NA,NA
143,"hake_ex143.lst","Lognormal","(iii)","(iii)","(iii)",NA,1,0.0729,0.1138,0.3316,NA,0.7839,0.0347,0.1024,0.2535,NA,0.7839,0.0347,0.1024,0.2535,15.902,4,NA,NA,NA,NA,17.218,4,NA,NA,NA,NA,17.218,4,NA,NA,NA,NA
144,"hake_ex144.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.71,1,1,1,NA,0.43,1,1,1,NA,0.43,1,1,1,4.5046,4,NA,NA,NA,NA,7.8523,4,NA,NA,NA,NA,7.8523,4,NA,NA,NA,NA
145,"hake_ex145.lst","Lognormal","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,4.5662,4,NA,NA,NA,NA,5.2923,4,NA,NA,NA,NA,5.2923,4,NA,NA,NA,NA
146,"hake_ex146.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0177,0.6577,0.4857,0.6577,NA,0.0174,0.5475,0.3019,0.5475,NA,0.0174,0.5475,0.3019,0.5475,29.723,4,NA,NA,NA,NA,33.428,4,NA,NA,NA,NA,33.428,4,NA,NA,NA,NA
147,"hake_ex147.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.062,0.595,0.625,0.186,NA,0.07,0.58,0.58,0.32,NA,0.07,0.58,0.58,0.32,4.5292,4,NA,NA,NA,NA,7.5938,4,NA,NA,NA,NA,7.5938,4,NA,NA,NA,NA
148,"hake_ex148.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.697,1,1,1,NA,0.559,1,1,1,NA,0.559,1,1,1,5.5508,4,NA,NA,NA,NA,6.1908,4,NA,NA,NA,NA,6.1908,4,NA,NA,NA,NA
149,"hake_ex149.lst","Lognormal","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,9.1077,4,NA,NA,NA,NA,7.3969,4,NA,NA,NA,NA,7.3969,4,NA,NA,NA,NA
150,"hake_ex150.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0051,0.7665,0.4716,0.4716,NA,0.0048,0.6077,0.4216,0.4216,NA,0.0048,0.6077,0.4216,0.4216,13.009,4,NA,NA,NA,NA,10.868,4,NA,NA,NA,NA,10.868,4,NA,NA,NA,NA
151,"hake_ex151.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0035,0.3774,0.2488,0.5381,NA,0.0029,0.3475,0.2488,0.4516,NA,0.0029,0.3475,0.2488,0.4516,28.726,4,NA,NA,NA,NA,31.298,4,NA,NA,NA,NA,31.298,4,NA,NA,NA,NA
152,"hake_ex152.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.02,0.631,0.631,0.631,NA,0.017,0.521,0.521,0.521,NA,0.017,0.521,0.521,0.521,11.606,4,NA,NA,NA,NA,9.1077,4,NA,NA,NA,NA,9.1077,4,NA,NA,NA,NA
153,"hake_ex153.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.041,0.096,0.046,0.064,NA,0.062,0.175,0.092,0.076,NA,0.062,0.175,0.092,0.076,16.898,4,NA,NA,NA,NA,16.369,4,NA,NA,NA,NA,16.369,4,NA,NA,NA,NA
154,"hake_ex154.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.015,1,1,1,NA,0.011,1,0.377,1,NA,0.011,1,0.377,1,17.145,4,NA,NA,NA,NA,17.329,4,NA,NA,NA,NA,17.329,4,NA,NA,NA,NA
155,"hake_ex155.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0011,0.0112,0.0033,0.054,NA,0.0013,0.0236,0.0076,0.0561,NA,0.0013,0.0236,0.0076,0.0561,32.037,4,NA,NA,NA,NA,24.578,4,NA,NA,NA,NA,24.578,4,NA,NA,NA,NA
156,"hake_ex156.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.052,0.111,0.277,0.299,NA,0.045,0.203,0.406,0.406,NA,0.045,0.203,0.406,0.406,7.6923,4,NA,NA,NA,NA,5.5877,4,NA,NA,NA,NA,5.5877,4,NA,NA,NA,NA
157,"hake_ex157.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.027,0.625,0.434,0.245,NA,0.011,1,0.576,0.392,NA,0.011,1,0.576,0.392,6.9538,4,NA,NA,NA,NA,12.357,4,NA,NA,NA,NA,12.357,4,NA,NA,NA,NA
158,"hake_ex158.lst","Lognormal","(iii)","(iii)","(iii)",NA,0.214,0.032,0.05,0.052,NA,0.277,0.045,0.057,0.057,NA,0.277,0.045,0.057,0.057,12.628,4,NA,NA,NA,NA,10.548,4,NA,NA,NA,NA,10.548,4,NA,NA,NA,NA
159,"hake_ex159.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.025,0.506,0.148,0.348,NA,0.025,0.651,0.221,0.332,NA,0.025,0.651,0.221,0.332,8.2831,4,NA,NA,NA,NA,7.3723,4,NA,NA,NA,NA,7.3723,4,NA,NA,NA,NA
160,"hake_ex160.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0128,0.4239,0.2028,0.3281,NA,0.0087,0.4948,0.1582,0.2642,NA,0.0087,0.4948,0.1582,0.2642,22.991,4,NA,NA,NA,NA,23.668,4,NA,NA,NA,NA,23.668,4,NA,NA,NA,NA
161,"hake_ex161.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.017,0.742,0.525,0.791,NA,0.024,0.446,0.383,0.777,NA,0.024,0.446,0.383,0.777,7.5323,4,NA,NA,NA,NA,9.9815,4,NA,NA,NA,NA,9.9815,4,NA,NA,NA,NA
162,"hake_ex162.lst","Lognormal","(ii)","(ii)","(ii)",NA,0.0018,0.3774,0.3774,0.7137,NA,0.002,0.492,0.492,0.889,NA,0.002,0.492,0.492,0.889,19.409,4,NA,NA,NA,NA,20.985,4,NA,NA,NA,NA,20.985,4,NA,NA,NA,NA
163,"hake_ex163.lst","Negative binomial","(iv)","(ii)","(ii)",NA,0.34,1,0.25,0.71,NA,0.46,1,0.51,0.55,NA,0.46,1,0.51,0.55,5.1569,4,NA,NA,NA,NA,4.0492,4,NA,NA,NA,NA,4.0492,4,NA,NA,NA,NA
164,"hake_ex164.lst","Negative binomial","(iv)","(iv)","(iv)",NA,0.9,0.96,0.47,0.73,NA,1,1,0.52,0.52,NA,1,1,0.52,0.52,8.2215,4,NA,NA,NA,NA,6.4862,4,NA,NA,NA,NA,6.4862,4,NA,NA,NA,NA
165,"hake_ex165.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.0156,1,1,1,NA,0.0125,1,1,1,NA,0.0125,1,1,1,13.342,4,NA,NA,NA,NA,14.4,4,NA,NA,NA,NA,14.4,4,NA,NA,NA,NA
166,"hake_ex166.lst","Negative binomial","(iii)","(iv)","(iv)",NA,1,0.954,1,1,NA,1,1,0.61,1,NA,1,1,0.61,1,11.138,4,NA,NA,NA,NA,5.6246,4,NA,NA,NA,NA,5.6246,4,NA,NA,NA,NA
167,"hake_ex167.lst","Negative binomial","(iv)","(iv)","(iv)",NA,1,1,0.39,1,NA,0.91,0.92,0.59,0.87,NA,0.91,0.92,0.59,0.87,6.56,4,NA,NA,NA,NA,6.6831,4,NA,NA,NA,NA,6.6831,4,NA,NA,NA,NA
168,"hake_ex168.lst","Negative binomial","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,3.5938,4,NA,NA,NA,NA,2.8923,4,NA,NA,NA,NA,2.8923,4,NA,NA,NA,NA
169,"hake_ex169.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.027,1,1,0.692,NA,0.0307,1,0.6641,0.6641,NA,0.0307,1,0.6641,0.6641,9.1077,4,NA,NA,NA,NA,9.9323,4,NA,NA,NA,NA,9.9323,4,NA,NA,NA,NA
170,"hake_ex170.lst","Negative binomial","(iii)","(iii)","(iii)",NA,1,0.55,0.76,0.76,NA,1,0.26,1,0.87,NA,1,0.26,1,0.87,5.2308,4,NA,NA,NA,NA,5.7723,4,NA,NA,NA,NA,5.7723,4,NA,NA,NA,NA
171,"hake_ex171.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.63,1,1,1,NA,0.72,1,1,1,NA,0.72,1,1,1,12.64,4,NA,NA,NA,NA,10.671,4,NA,NA,NA,NA,10.671,4,NA,NA,NA,NA
172,"hake_ex172.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.0018,1,1,1,NA,0.0012,1,1,1,NA,0.0012,1,1,1,11.865,4,NA,NA,NA,NA,11.877,4,NA,NA,NA,NA,11.877,4,NA,NA,NA,NA
173,"hake_ex173.lst","Negative binomial","(iii)","(iii)","(iii)",NA,0.77,0.16,1,1,NA,0.88,0.1,0.88,0.88,NA,0.88,0.1,0.88,0.88,11.557,4,NA,NA,NA,NA,10.006,4,NA,NA,NA,NA,10.006,4,NA,NA,NA,NA
174,"hake_ex174.lst","Negative binomial","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,3.9754,4,NA,NA,NA,NA,5.9446,4,NA,NA,NA,NA,5.9446,4,NA,NA,NA,NA
175,"hake_ex175.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.14,1,1,1,NA,0.1305,1,1,1,NA,0.1305,1,1,1,8.8862,4,NA,NA,NA,NA,8.8369,4,NA,NA,NA,NA,8.8369,4,NA,NA,NA,NA
176,"hake_ex176.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.081,1,0.701,1,NA,0.045,1,0.937,1,NA,0.045,1,0.937,1,11.286,4,NA,NA,NA,NA,12.345,4,NA,NA,NA,NA,12.345,4,NA,NA,NA,NA
177,"hake_ex177.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.02,1,1,1,NA,0.021,1,1,1,NA,0.021,1,1,1,12.074,4,NA,NA,NA,NA,11.754,4,NA,NA,NA,NA,11.754,4,NA,NA,NA,NA
178,"hake_ex178.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.093,0.695,0.261,0.695,NA,0.304,1,0.304,1,NA,0.304,1,0.304,1,19.434,4,NA,NA,NA,NA,11.483,4,NA,NA,NA,NA,11.483,4,NA,NA,NA,NA
179,"hake_ex179.lst","Negative binomial","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,7.8031,4,NA,NA,NA,NA,6.3262,4,NA,NA,NA,NA,6.3262,4,NA,NA,NA,NA
180,"hake_ex180.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.27,1,1,1,NA,0.29,1,1,1,NA,0.29,1,1,1,4.7877,4,NA,NA,NA,NA,5.5754,4,NA,NA,NA,NA,5.5754,4,NA,NA,NA,NA
181,"hake_ex181.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.095,1,1,1,NA,0.0468,1,1,1,NA,0.0468,1,1,1,7.84,4,NA,NA,NA,NA,10.191,4,NA,NA,NA,NA,10.191,4,NA,NA,NA,NA
182,"hake_ex182.lst","Negative binomial","(iv)","(iv)","(iv)",NA,0.71,1,0.53,1,NA,1,1,0.7,1,NA,1,1,0.7,1,8.6031,4,NA,NA,NA,NA,7.5077,4,NA,NA,NA,NA,7.5077,4,NA,NA,NA,NA
183,"hake_ex183.lst","Negative binomial","(ii)","(iii)","(iii)",NA,0.734,0.734,1,1,NA,0.7477,0.4577,0.7477,0.7477,NA,0.7477,0.4577,0.7477,0.7477,7.7415,4,NA,NA,NA,NA,9.5138,4,NA,NA,NA,NA,9.5138,4,NA,NA,NA,NA
184,"hake_ex184.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.14,0.23,0.35,0.29,NA,0.18,0.3,0.19,0.57,NA,0.18,0.3,0.19,0.57,10.228,4,NA,NA,NA,NA,8.7138,4,NA,NA,NA,NA,8.7138,4,NA,NA,NA,NA
185,"hake_ex185.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.133,1,1,1,NA,0.13,1,1,1,NA,0.13,1,1,1,7.1138,4,NA,NA,NA,NA,9.9692,4,NA,NA,NA,NA,9.9692,4,NA,NA,NA,NA
186,"hake_ex186.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.007,1,1,1,NA,0.011,1,1,1,NA,0.011,1,1,1,10.683,4,NA,NA,NA,NA,10.572,4,NA,NA,NA,NA,10.572,4,NA,NA,NA,NA
187,"hake_ex187.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.031,1,0.5468,1,NA,0.034,1,0.239,1,NA,0.034,1,0.239,1,9.6615,4,NA,NA,NA,NA,15.274,4,NA,NA,NA,NA,15.274,4,NA,NA,NA,NA
188,"hake_ex188.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.171,1,1,1,NA,0.159,1,1,1,NA,0.159,1,1,1,7.5692,4,NA,NA,NA,NA,7.7415,4,NA,NA,NA,NA,7.7415,4,NA,NA,NA,NA
189,"hake_ex189.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.22,1,1,1,NA,0.18,1,1,1,NA,0.18,1,1,1,3.9508,4,NA,NA,NA,NA,5.4523,4,NA,NA,NA,NA,5.4523,4,NA,NA,NA,NA
190,"hake_ex190.lst","Negative binomial","(ii)","(v)","(v)",NA,1,1,1,1,NA,1,1,1,0.57,NA,1,1,1,0.57,4.8985,4,NA,NA,NA,NA,5.4769,4,NA,NA,NA,NA,5.4769,4,NA,NA,NA,NA
191,"hake_ex191.lst","Negative binomial","(iii)","(iii)","(iii)",NA,1,0.521,1,1,NA,1,0.444,1,1,NA,1,0.444,1,1,8.6646,4,NA,NA,NA,NA,7.5446,4,NA,NA,NA,NA,7.5446,4,NA,NA,NA,NA
192,"hake_ex192.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.0074,1,1,1,NA,0.0109,1,1,1,NA,0.0109,1,1,1,18.917,4,NA,NA,NA,NA,19.102,4,NA,NA,NA,NA,19.102,4,NA,NA,NA,NA
193,"hake_ex193.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.4,1,0.4,1,NA,0.4,1,0.62,1,NA,0.4,1,0.62,1,7.2,4,NA,NA,NA,NA,6.9292,4,NA,NA,NA,NA,6.9292,4,NA,NA,NA,NA
194,"hake_ex194.lst","Negative binomial","(iii)","(iii)","(iii)",NA,1,0.1526,1,1,NA,1,0.119,1,1,NA,1,0.119,1,1,11.655,4,NA,NA,NA,NA,10.375,4,NA,NA,NA,NA,10.375,4,NA,NA,NA,NA
195,"hake_ex195.lst","Negative binomial","(ii)","(ii)","(ii)",NA,0.37,1,1,1,NA,0.63,1,1,1,NA,0.63,1,1,1,4.3815,4,NA,NA,NA,NA,2.8554,4,NA,NA,NA,NA,2.8554,4,NA,NA,NA,NA
196,"hake_ex196.lst","Negative binomial","(ii)","(ii)","(ii)",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,1.9446,4,NA,NA,NA,NA,2.4,4,NA,NA,NA,NA,2.4,4,NA,NA,NA,NA
