"experiment","file","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
41,"hake_ex41.lst","Poisson","(iii)","(iii)","(iii)",NA,0.03728,0.00074,0.05158,0.00764,NA,0.0281,0.00075,0.05443,0.00922,NA,0.0281,0.00075,0.05443,0.00922,66.892,4,NA,NA,NA,NA,69.025,4,NA,NA,NA,NA,69.025,4,NA,NA,NA,NA
42,"hake_ex42.lst","Poisson","(ii)","(ii)","(ii)",NA,9.1e-11,0.58,1,1,NA,1.2e-10,0.4,1,1,NA,1.2e-10,0.4,1,1,68.47,4,NA,NA,NA,NA,59.898,4,NA,NA,NA,NA,59.898,4,NA,NA,NA,NA
43,"hake_ex43.lst","Poisson","(ii)","(ii)","(ii)",NA,0.02775,0.2824,0.66546,0.66546,NA,0.0196,0.4,0.7667,0.6308,NA,0.0196,0.4,0.7667,0.6308,22.102,4,NA,NA,NA,NA,22.752,4,NA,NA,NA,NA,22.752,4,NA,NA,NA,NA
44,"hake_ex44.lst","Poisson","(v)","(ii)","(ii)",NA,0.096,0.448,0.555,0.091,NA,0.071,0.486,0.489,0.129,NA,0.071,0.486,0.489,0.129,16.749,4,NA,NA,NA,NA,19.959,4,NA,NA,NA,NA,19.959,4,NA,NA,NA,NA
45,"hake_ex45.lst","Poisson","(ii)","(ii)","(ii)",NA,1.5e-09,0.6504,1,1,NA,2.9e-09,1,1,1,NA,2.9e-09,1,1,1,65.258,4,NA,NA,NA,NA,61.144,4,NA,NA,NA,NA,61.144,4,NA,NA,NA,NA
46,"hake_ex46.lst","Poisson","(ii)","(ii)","(ii)",NA,0.00173,0.88092,0.00314,0.66481,NA,0.0013,1,0.00393,0.82605,NA,0.0013,1,0.00393,0.82605,26.599,4,NA,NA,NA,NA,26.335,4,NA,NA,NA,NA,26.335,4,NA,NA,NA,NA
47,"hake_ex47.lst","Poisson","(ii)","(ii)","(ii)",NA,2.8e-06,1,1,1,NA,3e-06,1,1,1,NA,3e-06,1,1,1,35.001,4,NA,NA,NA,NA,39.668,4,NA,NA,NA,NA,39.668,4,NA,NA,NA,NA
48,"hake_ex48.lst","Poisson","(ii)","(ii)","(ii)",NA,2.3e-12,0.41,0.42,0.41,NA,7e-12,0.11,0.303,0.337,NA,7e-12,0.11,0.303,0.337,71.678,4,NA,NA,NA,NA,73.314,4,NA,NA,NA,NA,73.314,4,NA,NA,NA,NA
49,"hake_ex49.lst","Poisson","(ii)","(ii)","(ii)",NA,2e-06,0.0698,0.0051,0.1179,NA,2.3e-06,0.112,0.036,0.146,NA,2.3e-06,0.112,0.036,0.146,29.884,4,NA,NA,NA,NA,22.49,4,NA,NA,NA,NA,22.49,4,NA,NA,NA,NA
50,"hake_ex50.lst","Poisson","(ii)","(ii)","(ii)",NA,1.8e-10,1,1,1,NA,1.5e-10,1,1,1,NA,1.5e-10,1,1,1,56.485,4,NA,NA,NA,NA,61.685,4,NA,NA,NA,NA,61.685,4,NA,NA,NA,NA
