"example_id","inp_file","design_block","dist_code","factor1","level1_code","factor2","level2_code","factor3","level3_code","factor4","level4_code","factor5","level5_code","K","G","h","theta_true","theta_CV","Nmin","Nmax","nsims","random.seed","od_mult","sigma","mean_nsamp","ln_sd","nb_size","N_range_label","p_lbound","p_ubound"
63,"faces_ex63.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",-1,"theta_CV",1,"G",1,3,8,0.1,0.5,0.6,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
64,"faces_ex64.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",-1,"G",-1,3,2,0.1,1,0,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
65,"faces_ex65.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",-1,"G",0,3,4,0.1,1,0,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
66,"faces_ex66.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",-1,"G",1,3,8,0.1,1,0,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
67,"faces_ex67.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",0,"G",-1,3,2,0.1,1,0.2,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
68,"faces_ex68.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",0,"G",0,3,4,0.1,1,0.2,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
69,"faces_ex69.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",0,"G",1,3,8,0.1,1,0.2,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
70,"faces_ex70.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",1,"G",-1,3,2,0.1,1,0.6,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
71,"faces_ex71.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",1,"G",0,3,4,0.1,1,0.6,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
72,"faces_ex72.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",0,"theta_CV",1,"G",1,3,8,0.1,1,0.6,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
73,"faces_ex73.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",-1,"G",-1,3,2,0.1,2,0,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
74,"faces_ex74.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",-1,"G",0,3,4,0.1,2,0,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
75,"faces_ex75.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",-1,"G",1,3,8,0.1,2,0,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
76,"faces_ex76.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",0,"G",-1,3,2,0.1,2,0.2,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
77,"faces_ex77.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",0,"G",0,3,4,0.1,2,0.2,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
78,"faces_ex78.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",0,"G",1,3,8,0.1,2,0.2,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
79,"faces_ex79.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",1,"G",-1,3,2,0.1,2,0.6,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
80,"faces_ex80.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",1,"G",0,3,4,0.1,2,0.6,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
81,"faces_ex81.inp","Poisson",1,"mean_nsamp",-1,"sigma",1,"theta_true",1,"theta_CV",1,"G",1,3,8,0.1,2,0.6,50,100,5,1078526260,1,1,25,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
82,"faces_ex82.inp","Poisson",1,"mean_nsamp",0,"sigma",-1,"theta_true",-1,"theta_CV",-1,"G",-1,3,2,0.1,0.5,0,50,100,5,1078526260,1,0.25,50,1,25,,"0.0, 0.0, 0.0","1.0, 1.0, 1.0"
