"p1","p2","p3","loglik","delta_loglik","relative_likelihood","gradient_norm","max_abs_gradient","boundary_distance","l1_distance_from_observed","l2_distance_from_observed"
0.434782608695652,0.260869565217391,0.304347826086957,-2630.72085147561,-2460.44161220186,0,281011.928809884,186805.205077765,0.260869565217391,0.198571539668032,0.126679910827328
0.391304347826087,0.304347826086957,0.304347826086957,-777.68341510091,-607.404175827163,1.61331121662796e-264,274091.997482226,167878.351945212,0.304347826086957,0.111615017928902,0.0685162764536397
0.347826086956522,0.347826086956522,0.304347826086957,-170.279239273746,0,1,271888.951302976,165484.351022612,0.304347826086957,0.0490602052295261,0.030043254548921
0.304347826086957,0.391304347826087,0.304347826086957,-773.988352702465,-603.709113428718,6.49326852479624e-263,274084.603562501,167833.032834706,0.304347826086957,0.111358230778885,0.0683531332250308
0.260869565217391,0.434782608695652,0.304347826086957,-2623.30048649607,-2453.02124722232,0,280996.917727788,186756.582308066,0.260869565217391,0.198314752518016,0.126503522371649
0.217391304347826,0.478260869565217,0.304347826086957,-5829.59262885561,-5659.31338958186,0,293698.913603492,210839.401010769,0.217391304347826,0.285271274257146,0.186803555095072
0.173913043478261,0.521739130434783,0.304347826086957,-10609.3617974223,-10439.0825581485,0,314475.320076541,242741.677028598,0.173913043478261,0.372227795996276,0.247688174713386
0.130434782608696,0.565217391304348,0.304347826086957,-17352.3880065841,-17182.1087673104,0,348088.970008579,287570.113654281,0.130434782608696,0.459184317735407,0.308811807194135
0.0869565217391304,0.608695652173913,0.304347826086957,-26796.6933587604,-26626.4141194867,0,405823.010057093,357027.520541028,0.0869565217391304,0.546140839474537,0.370056035358342
0.0434782608695652,0.652173913043478,0.304347826086957,-40616.8747515552,-40446.5955122814,0,524747.447675582,489061.706628111,0.0434782608695652,0.633097361213668,0.431369497091217
0.608695652173913,0.0434782608695652,0.347826086956522,-37981.5620385453,-37811.2827992715,0,521234.768102531,489138.216293234,0.0434782608695652,0.584293943134158,0.400432862403052
0.565217391304348,0.0869565217391304,0.347826086956522,-24406.6104065131,-24236.3311672393,0,401487.439038841,357096.157102173,0.0869565217391304,0.497337421395028,0.339067386511587
0.521739130434783,0.130434782608696,0.347826086956522,-15240.0365019165,-15069.7572626427,0,343377.195504221,287632.346268417,0.130434782608696,0.410380899655898,0.277755908258064
0.478260869565217,0.173913043478261,0.347826086956522,-8814.00983585697,-8643.73059658322,0,309774.622420349,242798.598719707,0.173913043478261,0.323424377916767,0.216544298520405
0.434782608695652,0.217391304347826,0.347826086956522,-4399.41051446716,-4229.13127519342,0,289411.136752603,210891.846970631,0.217391304347826,0.236467856177637,0.155550501587408
0.391304347826087,0.260869565217391,0.347826086956522,-1618.41042144189,-1448.13118216814,0,277581.307267882,186805.205077765,0.260869565217391,0.149511334438506,0.095194120298798
0.347826086956522,0.304347826086957,0.347826086956522,-270.965693971957,-100.686454698211,1.87252800741327e-44,272108.286136024,167878.351945212,0.304347826086957,0.0625548126993757,0.0385916986902334
0.304347826086957,0.347826086956522,0.347826086956522,-269.059351305943,-98.7801120321965,1.25991841207758e-43,272104.119390626,167833.032834706,0.304347826086957,0.0622980255493589,0.0384467755358155
0.260869565217391,0.391304347826087,0.347826086956522,-1612.674828441,-1442.39558916725,0,277568.693305552,186756.582308066,0.260869565217391,0.149254547288489,0.095018032832578
0.217391304347826,0.434782608695652,0.347826086956522,-4389.79509976739,-4219.51586049364,0,289389.728954143,210839.401010769,0.217391304347826,0.23621106902762,0.155370960126441
0.173913043478261,0.478260869565217,0.347826086956522,-8800.42727397871,-8630.14803470497,0,309743.823293366,242741.677028598,0.173913043478261,0.32316759076675,0.216363769173167
