"p1","p2","p3","p4","p5","rmse_i","rmse_ii","rmse_iii","rmse_iv","N1"
0.56,0.04,0.32,0.04,0.04,0.0166745878809738,0.0166721703013612,0.0166719024291318,0.0166722548906913,399
0.52,0.08,0.32,0.04,0.04,0.0968023037924825,0.0968034449421618,0.0968012682925931,0.0968023912299991,105
0.48,0.12,0.32,0.04,0.04,0.0319408459649466,0.0319419982777835,0.031945277872024,0.0319409129501839,755
0.44,0.16,0.32,0.04,0.04,0.121793152571866,0.121794495203849,0.121795195993944,0.121794813124755,106
0.4,0.2,0.32,0.04,0.04,0.062290068497702,0.0622887787092618,0.0622913766811383,0.0622896460095897,100
0.36,0.24,0.32,0.04,0.04,0.260307562000826,0.0527951986076127,0.0527958195827593,0.0527961626519153,146
0.32,0.28,0.32,0.04,0.04,0.0337805295915748,0.0337798240593885,0.0337791306118035,0.0337810157454359,110
0.28,0.32,0.32,0.04,0.04,0.380940065270081,0.0602378784884673,0.0602374369868697,0.0602379012584408,196
0.24,0.36,0.32,0.04,0.04,0.0410286449419551,0.04102666739212,0.041026339502324,0.0410275991119257,96
0.2,0.4,0.32,0.04,0.04,0.0380740844627695,0.0380736904025263,0.038072426029591,0.0380741367491986,152
0.16,0.44,0.32,0.04,0.04,0.0322104703232083,0.032212530072527,0.0322120110477973,0.0322118209813532,126
0.12,0.48,0.32,0.04,0.04,0.0373165713680075,0.0373163050091529,0.0373162378592723,0.0373163426813928,282
0.08,0.52,0.32,0.04,0.04,0.229676510239715,0.0206807472097661,0.0206804164281879,0.0206799861239632,994
0.04,0.56,0.32,0.04,0.04,0.0194730250114585,0.0194712160303624,0.0194740850159155,0.0194732655845226,317
0.52,0.04,0.36,0.04,0.04,0.270109454114073,0.0671237999232305,0.067123281002886,0.0671237662828897,125
0.48,0.08,0.36,0.04,0.04,0.0501357067352369,0.0501365819225265,0.0501348107642749,0.050136733262783,77
0.44,0.12,0.36,0.04,0.04,0.0282489766931544,0.0282489066021242,0.02825023221496,0.0282489647562833,268
