"experiment","folder","file","distribution_code","distribution","rmse_best","l1_best","linf_best","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","l1_i","l1_ii","l1_iii","l1_iv","l1_v","linf_i","linf_ii","linf_iii","linf_iv","linf_v","rmse_friedman_chisq","rmse_friedman_df","rmse_friedman_p","rmse_kendall_w","rmse_anova_f","rmse_anova_p","l1_friedman_chisq","l1_friedman_df","l1_friedman_p","l1_kendall_w","l1_anova_f","l1_anova_p","linf_friedman_chisq","linf_friedman_df","linf_friedman_p","linf_kendall_w","linf_anova_f","linf_anova_p"
361,"ex361","faces_ex361.lst",2,"Lognormal","(i)","(i)","(i)",0.099,0.118,0.102,0.104,0.101,0.267,0.319,0.275,0.281,0.273,0.134,0.159,0.137,0.14,0.136,76.112,4,"=1.16e-15",0.058,22.485,"<",77.188,4,"=6.863e-16",0.058,22.442,"<",77.188,4,"=6.863e-16",0.058,22.442,"<"
362,"ex362","faces_ex362.lst",2,"Lognormal","(v)","(v)","(i)",0.0771,0.0941,0.0788,0.0788,0.077,0.208,0.252,0.211,0.212,0.207,0.104,0.126,0.106,0.106,0.104,62.555,4,"=8.418e-13",0.047,13.062,"1.955e-10",57.069,4,"=1.197e-11",0.043,12.119,"1.121e-09",57.069,4,"=1.197e-11",0.043,12.119,"1.121e-09"
363,"ex363","faces_ex363.lst",2,"Lognormal","(v)","(v)","(v)",0.0571,0.0674,0.0555,0.0556,0.0543,0.153,0.181,0.149,0.15,0.146,0.0767,0.0905,0.0745,0.0748,0.0728,73.898,4,"=3.407e-15",0.056,9.922,"6.546e-08",66.204,4,"=1.435e-13",0.05,10.111,"4.612e-08",66.204,4,"=1.435e-13",0.05,10.111,"4.612e-08"
364,"ex364","faces_ex364.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.1002,0.1229,0.0991,0.101,0.0998,0.27,0.331,0.266,0.272,0.268,0.135,0.166,0.133,0.136,0.134,88.682,4,"<2.2e-16",0.067,29.588,"<",97.137,4,"<2.2e-16",0.074,29.973,"<",97.137,4,"<2.2e-16",0.074,29.973,"<"
365,"ex365","faces_ex365.lst",2,"Lognormal","(i)","(i)","(i)",0.0716,0.0861,0.0735,0.0733,0.0719,0.193,0.231,0.198,0.197,0.193,0.0964,0.1157,0.099,0.0986,0.0967,52.507,4,"=1.081e-10",0.04,14.282,"2.04e-11",45.52,4,"=3.1e-09",0.034,13.974,"3.61e-11",45.52,4,"=3.1e-09",0.034,13.974,"3.61e-11"
366,"ex366","faces_ex366.lst",2,"Lognormal","(v)","(v)","(v)",0.056,0.0646,0.0556,0.0557,0.0548,0.151,0.174,0.15,0.15,0.147,0.0754,0.0872,0.0749,0.075,0.0737,34.281,4,"=6.525e-07",0.026,5.3086,"0.0003052",31.808,4,"=2.093e-06",0.024,5.4335,"0.0002437",31.808,4,"=2.093e-06",0.024,5.4335,"0.0002437"
367,"ex367","faces_ex367.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.1051,0.1204,0.0977,0.0993,0.0997,0.282,0.325,0.262,0.266,0.268,0.141,0.162,0.131,0.133,0.134,61.139,4,"=1.671e-12",0.046,18.453,"9.142e-15",58.63,4,"=5.627e-12",0.044,18.376,"1.054e-14",58.63,4,"=5.627e-12",0.044,18.376,"1.054e-14"
368,"ex368","faces_ex368.lst",2,"Lognormal","(v)","(v)","(v)",0.074,0.0881,0.0725,0.0722,0.0711,0.199,0.237,0.195,0.194,0.191,0.0993,0.1183,0.0974,0.0971,0.0956,42.078,4,"=1.608e-08",0.032,14.075,"2.994e-11",40.865,4,"=2.866e-08",0.031,13.577,"7.524e-11",40.865,4,"=2.866e-08",0.031,13.577,"7.524e-11"
369,"ex369","faces_ex369.lst",2,"Lognormal","(i)","(i)","(i)",0.0568,0.0705,0.0607,0.0602,0.0591,0.153,0.19,0.164,0.162,0.16,0.0765,0.0952,0.0818,0.0811,0.0798,54.378,4,"=4.385e-11",0.041,13.966,"3.659e-11",49.888,4,"=3.81e-10",0.038,14.142,"2.643e-11",49.888,4,"=3.81e-10",0.038,14.142,"2.643e-11"
370,"ex370","faces_ex370.lst",2,"Lognormal","(i)","(i)","(i)",0.0954,0.1121,0.096,0.0966,0.096,0.256,0.303,0.258,0.26,0.258,0.128,0.151,0.129,0.13,0.129,26.958,4,"=2.028e-05",0.02,17.798,"3.062e-14",31.721,4,"=2.181e-06",0.024,18.511,"8.206e-15",31.721,4,"=2.181e-06",0.024,18.511,"8.206e-15"
371,"ex371","faces_ex371.lst",2,"Lognormal","(i)","(i)","(i)",0.0653,0.0816,0.0667,0.0671,0.0656,0.176,0.22,0.179,0.181,0.176,0.088,0.1099,0.0896,0.0903,0.0881,74.965,4,"=2.027e-15",0.057,14.268,"2.094e-11",64.688,4,"=2.993e-13",0.049,14.227,"2.258e-11",64.688,4,"=2.993e-13",0.049,14.227,"2.258e-11"
372,"ex372","faces_ex372.lst",2,"Lognormal","(i)","(i)","(i)",0.0527,0.0664,0.0552,0.0552,0.054,0.142,0.179,0.148,0.148,0.145,0.0712,0.0896,0.0742,0.0741,0.0726,107.14,4,"<2.2e-16",0.081,10.4,"2.707e-08",105.09,4,"<2.2e-16",0.08,10.328,"3.089e-08",105.09,4,"<2.2e-16",0.08,10.328,"3.089e-08"
373,"ex373","faces_ex373.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0982,0.1163,0.0962,0.0972,0.0967,0.265,0.313,0.259,0.262,0.26,0.132,0.157,0.13,0.131,0.13,52.482,4,"=1.093e-10",0.04,26.523,"<",50.315,4,"=3.103e-10",0.038,26.117,"<",50.315,4,"=3.103e-10",0.038,26.117,"<"
374,"ex374","faces_ex374.lst",2,"Lognormal","(i)","(i)","(i)",0.0721,0.0904,0.0755,0.0754,0.0742,0.195,0.242,0.203,0.203,0.2,0.0973,0.1211,0.1015,0.1014,0.0999,41.358,4,"=2.266e-08",0.031,14.175,"2.487e-11",36.335,4,"=2.47e-07",0.028,13.665,"6.392e-11",36.335,4,"=2.47e-07",0.028,13.665,"6.392e-11"
375,"ex375","faces_ex375.lst",2,"Lognormal","(i)","(i)","(i)",0.0515,0.0692,0.0541,0.0545,0.053,0.138,0.185,0.145,0.146,0.142,0.069,0.0926,0.0726,0.0731,0.0711,87.801,4,"<2.2e-16",0.067,19.17,"2.438e-15",78.032,4,"=4.549e-16",0.059,18.784,"4.963e-15",78.032,4,"=4.549e-16",0.059,18.784,"4.963e-15"
376,"ex376","faces_ex376.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.109,0.123,0.105,0.106,0.105,0.291,0.331,0.282,0.284,0.282,0.146,0.166,0.141,0.142,0.141,97.03,4,"<2.2e-16",0.074,14.239,"2.207e-11",84.337,4,"<2.2e-16",0.064,13.939,"3.85e-11",84.337,4,"<2.2e-16",0.064,13.939,"3.85e-11"
377,"ex377","faces_ex377.lst",2,"Lognormal","(v)","(v)","(v)",0.0739,0.0942,0.0737,0.0744,0.072,0.2,0.253,0.198,0.2,0.194,0.0999,0.1267,0.099,0.0999,0.0968,81.021,4,"<2.2e-16",0.061,21.578,"<",76.71,4,"=8.661e-16",0.058,21.59,"<",76.71,4,"=8.661e-16",0.058,21.59,"<"
378,"ex378","faces_ex378.lst",2,"Lognormal","(i)","(i)","(i)",0.0505,0.0675,0.0548,0.0547,0.0533,0.136,0.181,0.147,0.147,0.143,0.068,0.0903,0.0734,0.0733,0.0716,86.533,4,"<2.2e-16",0.066,23.925,"<",90.087,4,"<2.2e-16",0.068,24.437,"<",90.087,4,"<2.2e-16",0.068,24.437,"<"
379,"ex379","faces_ex379.lst",2,"Lognormal","(i)","(i)","(i)",0.15,0.176,0.153,0.155,0.153,0.403,0.473,0.41,0.417,0.41,0.202,0.237,0.205,0.209,0.205,45.624,4,"=2.949e-09",0.035,14.442,"1.517e-11",54.81,4,"=3.561e-11",0.042,14.275,"2.066e-11",54.81,4,"=3.561e-11",0.042,14.275,"2.066e-11"
380,"ex380","faces_ex380.lst",2,"Lognormal","(i)","(i)","(i)",0.106,0.138,0.128,0.128,0.115,0.285,0.369,0.343,0.343,0.31,0.143,0.184,0.172,0.172,0.155,87.135,4,"<2.2e-16",0.066,21.363,"<",82.761,4,"<2.2e-16",0.063,20.632,"<",82.761,4,"<2.2e-16",0.063,20.632,"<"
381,"ex381","faces_ex381.lst",2,"Lognormal","(i)","(i)","(i)",0.0806,0.1088,0.0948,0.0937,0.0862,0.217,0.292,0.255,0.251,0.231,0.109,0.146,0.127,0.126,0.116,100.13,4,"<2.2e-16",0.076,27.848,"<",90.376,4,"<2.2e-16",0.068,27.192,"<",90.376,4,"<2.2e-16",0.068,27.192,"<"
382,"ex382","faces_ex382.lst",2,"Lognormal","(i)","(i)","(i)",0.149,0.189,0.161,0.163,0.158,0.401,0.508,0.433,0.438,0.424,0.201,0.254,0.217,0.219,0.212,51.045,4,"=2.185e-10",0.039,28.529,"<",55.859,4,"=2.146e-11",0.042,28.358,"<",55.859,4,"=2.146e-11",0.042,28.358,"<"
383,"ex383","faces_ex383.lst",2,"Lognormal","(i)","(i)","(i)",0.112,0.149,0.128,0.127,0.12,0.3,0.4,0.344,0.34,0.322,0.15,0.2,0.172,0.17,0.161,79.602,4,"<2.2e-16",0.06,26.353,"<",78.078,4,"=4.448e-16",0.059,26.371,"<",78.078,4,"=4.448e-16",0.059,26.371,"<"
384,"ex384","faces_ex384.lst",2,"Lognormal","(i)","(i)","(i)",0.0809,0.1107,0.0964,0.0969,0.0901,0.218,0.298,0.258,0.26,0.241,0.109,0.149,0.129,0.13,0.121,90.412,4,"<2.2e-16",0.068,31.59,"<",94.907,4,"<2.2e-16",0.072,32.328,"<",94.907,4,"<2.2e-16",0.072,32.328,"<"
385,"ex385","faces_ex385.lst",2,"Lognormal","(i)","(i)","(i)",0.16,0.192,0.164,0.165,0.164,0.43,0.514,0.438,0.443,0.439,0.215,0.257,0.219,0.221,0.22,45.345,4,"=3.37e-09",0.034,23.767,"<",60.041,4,"=2.844e-12",0.045,23.613,"<",60.041,4,"=2.844e-12",0.045,23.613,"<"
386,"ex386","faces_ex386.lst",2,"Lognormal","(i)","(i)","(i)",0.108,0.145,0.124,0.121,0.114,0.291,0.392,0.333,0.325,0.308,0.146,0.196,0.167,0.163,0.154,75.455,4,"=1.597e-15",0.057,24.958,"<",72.57,4,"=6.505e-15",0.055,24.4,"<",72.57,4,"=6.505e-15",0.055,24.4,"<"
387,"ex387","faces_ex387.lst",2,"Lognormal","(i)","(i)","(i)",0.0812,0.1126,0.0969,0.0963,0.0898,0.219,0.304,0.261,0.258,0.242,0.109,0.152,0.13,0.129,0.121,106.11,4,"<2.2e-16",0.08,27.503,"<",102.16,4,"<2.2e-16",0.077,27.003,"<",102.16,4,"<2.2e-16",0.077,27.003,"<"
388,"ex388","faces_ex388.lst",2,"Lognormal","(i)","(i)","(i)",0.147,0.182,0.155,0.156,0.152,0.395,0.487,0.415,0.417,0.407,0.197,0.243,0.208,0.208,0.203,56.102,4,"=1.909e-11",0.043,25.639,"<",47.935,4,"=9.739e-10",0.036,24.837,"<",47.935,4,"=9.739e-10",0.036,24.837,"<"
389,"ex389","faces_ex389.lst",2,"Lognormal","(i)","(i)","(i)",0.101,0.138,0.118,0.116,0.11,0.273,0.371,0.317,0.31,0.294,0.136,0.185,0.159,0.155,0.147,113.72,4,"<2.2e-16",0.086,39.845,"<",110.72,4,"<2.2e-16",0.084,38.129,"<",110.72,4,"<2.2e-16",0.084,38.129,"<"
390,"ex390","faces_ex390.lst",2,"Lognormal","(i)","(i)","(i)",0.0786,0.115,0.0941,0.0932,0.0851,0.212,0.308,0.253,0.25,0.228,0.106,0.154,0.126,0.125,0.114,135.43,4,"<2.2e-16",0.103,46.053,"<",141.24,4,"<2.2e-16",0.107,45.489,"<",141.24,4,"<2.2e-16",0.107,45.489,"<"
391,"ex391","faces_ex391.lst",2,"Lognormal","(i)","(i)","(i)",0.146,0.177,0.154,0.155,0.149,0.393,0.476,0.414,0.416,0.401,0.197,0.238,0.207,0.208,0.201,57.219,4,"=1.113e-11",0.043,21.733,"<",59.43,4,"=3.821e-12",0.045,22.257,"<",59.43,4,"=3.821e-12",0.045,22.257,"<"
392,"ex392","faces_ex392.lst",2,"Lognormal","(i)","(i)","(i)",0.107,0.137,0.128,0.127,0.117,0.286,0.366,0.345,0.342,0.315,0.143,0.183,0.172,0.171,0.158,95.232,4,"<2.2e-16",0.072,24.464,"<",93.566,4,"<2.2e-16",0.071,24.309,"<",93.566,4,"<2.2e-16",0.071,24.309,"<"
393,"ex393","faces_ex393.lst",2,"Lognormal","(i)","(i)","(i)",0.0826,0.1131,0.0981,0.0974,0.0911,0.223,0.304,0.264,0.262,0.246,0.112,0.152,0.132,0.131,0.123,96.196,4,"<2.2e-16",0.073,23.918,"<",93.122,4,"<2.2e-16",0.071,22.782,"<",93.122,4,"<2.2e-16",0.071,22.782,"<"
394,"ex394","faces_ex394.lst",2,"Lognormal","(v)","(v)","(v)",0.151,0.179,0.154,0.155,0.15,0.407,0.481,0.413,0.416,0.404,0.204,0.241,0.207,0.208,0.202,43.775,4,"=7.146e-09",0.033,18.9,"4.007e-15",35.762,4,"=3.238e-07",0.027,18.528,"7.964e-15",35.762,4,"=3.238e-07",0.027,18.528,"7.964e-15"
395,"ex395","faces_ex395.lst",2,"Lognormal","(i)","(i)","(i)",0.11,0.152,0.129,0.127,0.12,0.294,0.408,0.345,0.339,0.321,0.147,0.204,0.172,0.17,0.16,97.413,4,"<2.2e-16",0.074,31.188,"<",97.607,4,"<2.2e-16",0.074,31.87,"<",97.607,4,"<2.2e-16",0.074,31.87,"<"
396,"ex396","faces_ex396.lst",2,"Lognormal","(i)","(i)","(i)",0.0799,0.1092,0.0959,0.095,0.0893,0.215,0.293,0.256,0.254,0.239,0.108,0.146,0.128,0.127,0.12,87.188,4,"<2.2e-16",0.066,29.726,"<",85.406,4,"<2.2e-16",0.065,28.562,"<",85.406,4,"<2.2e-16",0.065,28.562,"<"
397,"ex397","faces_ex397.lst",2,"Lognormal","(i)","(i)","(i)",0.151,0.189,0.158,0.157,0.154,0.406,0.509,0.424,0.42,0.414,0.203,0.255,0.212,0.21,0.207,69.762,4,"=2.548e-14",0.053,29.083,"<",71.44,4,"=1.127e-14",0.054,30.45,"<",71.44,4,"=1.127e-14",0.054,30.45,"<"
398,"ex398","faces_ex398.lst",2,"Lognormal","(i)","(i)","(i)",0.101,0.131,0.122,0.12,0.113,0.272,0.351,0.327,0.322,0.303,0.136,0.176,0.163,0.161,0.152,99.867,4,"<2.2e-16",0.076,20.853,"<",89.762,4,"<2.2e-16",0.068,20.011,"5.185e-16",89.762,4,"<2.2e-16",0.068,20.011,"5.185e-16"
399,"ex399","faces_ex399.lst",2,"Lognormal","(i)","(i)","(i)",0.0785,0.1075,0.0955,0.0957,0.0901,0.212,0.289,0.256,0.257,0.242,0.106,0.144,0.128,0.128,0.121,88.373,4,"<2.2e-16",0.067,29.821,"<",86.436,4,"<2.2e-16",0.065,28.126,"<",86.436,4,"<2.2e-16",0.065,28.126,"<"
400,"ex400","faces_ex400.lst",2,"Lognormal","(i)","(i)","(i)",0.142,0.168,0.151,0.15,0.148,0.383,0.453,0.407,0.404,0.399,0.192,0.227,0.203,0.202,0.2,24.994,4,"=5.045e-05",0.019,12.3,"8.024e-10",27.767,4,"=1.39e-05",0.021,12.195,"9.741e-10",27.767,4,"=1.39e-05",0.021,12.195,"9.741e-10"
401,"ex401","faces_ex401.lst",2,"Lognormal","(i)","(i)","(i)",0.102,0.132,0.116,0.115,0.108,0.275,0.355,0.311,0.309,0.291,0.138,0.177,0.155,0.154,0.145,69.188,4,"=3.368e-14",0.052,25.214,"<",71.268,4,"=1.225e-14",0.054,24.965,"<",71.268,4,"=1.225e-14",0.054,24.965,"<"
402,"ex402","faces_ex402.lst",2,"Lognormal","(i)","(i)","(i)",0.0751,0.1039,0.0943,0.0934,0.0863,0.203,0.279,0.253,0.251,0.232,0.101,0.139,0.127,0.125,0.116,103.28,4,"<2.2e-16",0.078,32.985,"<",100.37,4,"<2.2e-16",0.076,32.702,"<",100.37,4,"<2.2e-16",0.076,32.702,"<"
403,"ex403","faces_ex403.lst",2,"Lognormal","(i)","(i)","(i)",0.14,0.177,0.152,0.151,0.149,0.377,0.476,0.409,0.406,0.399,0.189,0.238,0.205,0.203,0.199,53.85,4,"=5.658e-11",0.041,23.01,"<",67.874,4,"=6.377e-14",0.051,23.278,"<",67.874,4,"=6.377e-14",0.051,23.278,"<"
404,"ex404","faces_ex404.lst",2,"Lognormal","(i)","(i)","(i)",0.11,0.138,0.127,0.125,0.119,0.294,0.372,0.34,0.335,0.319,0.147,0.186,0.17,0.167,0.159,66.49,4,"=1.249e-13",0.05,17.355,"6.933e-14",62.761,4,"=7.618e-13",0.048,17.958,"2.279e-14",62.761,4,"=7.618e-13",0.048,17.958,"2.279e-14"
405,"ex405","faces_ex405.lst",2,"Lognormal","(i)","(i)","(i)",0.0789,0.1091,0.096,0.0949,0.0887,0.213,0.292,0.258,0.255,0.238,0.107,0.146,0.129,0.127,0.119,128.03,4,"<2.2e-16",0.097,34.867,"<",126.2,4,"<2.2e-16",0.096,33.193,"<",126.2,4,"<2.2e-16",0.096,33.193,"<"
406,"ex406","faces_ex406.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0771,0.0896,0.0639,0.0655,0.0671,0.207,0.242,0.172,0.176,0.181,0.1036,0.1209,0.0858,0.088,0.0903,87.726,4,"<2.2e-16",0.066,17.94,"2.355e-14",76.182,4,"=1.12e-15",0.058,17.998,"2.116e-14",76.182,4,"=1.12e-15",0.058,17.998,"2.116e-14"
407,"ex407","faces_ex407.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0725,0.0624,0.0459,0.0467,0.0461,0.198,0.169,0.123,0.126,0.124,0.0988,0.0844,0.0617,0.0628,0.0622,78.747,4,"=3.21e-16",0.06,20.928,"<",79.365,4,"=2.374e-16",0.06,21.433,"<",79.365,4,"=2.374e-16",0.06,21.433,"<"
408,"ex408","faces_ex408.lst",2,"Lognormal","(v)","(v)","(v)",0.0397,0.0532,0.0339,0.0343,0.0337,0.1078,0.1435,0.091,0.0922,0.0907,0.0539,0.0717,0.0455,0.0461,0.0454,105.04,4,"<2.2e-16",0.08,17.758,"3.296e-14",104.39,4,"<2.2e-16",0.079,17.037,"1.246e-13",104.39,4,"<2.2e-16",0.079,17.037,"1.246e-13"
409,"ex409","faces_ex409.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0816,0.088,0.065,0.0664,0.0665,0.22,0.238,0.175,0.179,0.179,0.1099,0.119,0.0875,0.0893,0.0894,62.058,4,"=1.071e-12",0.047,18.46,"9.029e-15",55.665,4,"=2.357e-11",0.042,18.476,"8.759e-15",55.665,4,"=2.357e-11",0.042,18.476,"8.759e-15"
410,"ex410","faces_ex410.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.068,0.0736,0.0494,0.0499,0.0496,0.185,0.198,0.133,0.135,0.133,0.0925,0.0992,0.0664,0.0673,0.0666,79.472,4,"=2.254e-16",0.06,16.298,"4.889e-13",73.568,4,"=4.001e-15",0.056,16.636,"2.619e-13",73.568,4,"=4.001e-15",0.056,16.636,"2.619e-13"
411,"ex411","faces_ex411.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.053,0.0509,0.034,0.0346,0.0343,0.1432,0.1374,0.0911,0.0927,0.092,0.0716,0.0687,0.0456,0.0464,0.046,101.78,4,"<2.2e-16",0.077,16.843,"1.786e-13",105.13,4,"<2.2e-16",0.08,16.753,"2.107e-13",105.13,4,"<2.2e-16",0.08,16.753,"2.107e-13"
412,"ex412","faces_ex412.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0859,0.0948,0.0703,0.0723,0.0735,0.233,0.257,0.19,0.196,0.199,0.1166,0.1287,0.0952,0.0979,0.0996,70.257,4,"=2.003e-14",0.053,14.684,"9.682e-12",68.943,4,"=3.794e-14",0.052,14.572,"1.192e-11",68.943,4,"=3.794e-14",0.052,14.572,"1.192e-11"
413,"ex413","faces_ex413.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.072,0.0717,0.0509,0.0513,0.0522,0.196,0.194,0.137,0.139,0.141,0.0978,0.097,0.0687,0.0693,0.0704,51.581,4,"=1.688e-10",0.039,16.743,"2.148e-13",51.651,4,"=1.632e-10",0.039,16.486,"3.456e-13",51.651,4,"=1.632e-10",0.039,16.486,"3.456e-13"
414,"ex414","faces_ex414.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0468,0.0573,0.0352,0.0355,0.0352,0.1262,0.1548,0.0946,0.0956,0.095,0.0631,0.0774,0.0473,0.0478,0.0475,84.895,4,"<2.2e-16",0.064,16.777,"2.015e-13",91.406,4,"<2.2e-16",0.069,16.718,"2.247e-13",91.406,4,"<2.2e-16",0.069,16.718,"2.247e-13"
415,"ex415","faces_ex415.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0725,0.0763,0.0597,0.0603,0.06,0.195,0.205,0.161,0.162,0.162,0.0976,0.1027,0.0804,0.0812,0.0808,76.09,4,"=1.172e-15",0.058,12.548,"5.063e-10",66.412,4,"=1.297e-13",0.05,12.557,"4.978e-10",66.412,4,"=1.297e-13",0.05,12.557,"4.978e-10"
416,"ex416","faces_ex416.lst",2,"Lognormal","(v)","(iii)","(v)",0.0761,0.0575,0.0466,0.0467,0.0464,0.208,0.155,0.125,0.126,0.125,0.1039,0.0775,0.0625,0.0628,0.0624,51.571,4,"=1.696e-10",0.039,26.724,"<",57.932,4,"=7.886e-12",0.044,27.677,"<",57.932,4,"=7.886e-12",0.044,27.677,"<"
417,"ex417","faces_ex417.lst",2,"Lognormal","(v)","(v)","(v)",0.0424,0.0522,0.032,0.0324,0.0319,0.1143,0.1402,0.0865,0.0874,0.0859,0.0571,0.0701,0.0432,0.0437,0.043,78.218,4,"=4.153e-16",0.059,10.907,"1.059e-08",81.665,4,"<2.2e-16",0.062,10.805,"1.277e-08",81.665,4,"<2.2e-16",0.062,10.805,"1.277e-08"
418,"ex418","faces_ex418.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0819,0.0767,0.0624,0.0635,0.0633,0.222,0.207,0.169,0.171,0.17,0.1108,0.1036,0.0843,0.0857,0.0851,64.497,4,"=3.284e-13",0.049,10.822,"1.239e-08",55.132,4,"=3.048e-11",0.042,10.825,"1.232e-08",55.132,4,"=3.048e-11",0.042,10.825,"1.232e-08"
419,"ex419","faces_ex419.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0695,0.0642,0.042,0.0422,0.0429,0.19,0.173,0.113,0.114,0.116,0.0951,0.0867,0.0567,0.0569,0.058,58.489,4,"=6.023e-12",0.044,19.442,"1.476e-15",55.702,4,"=2.316e-11",0.042,19.95,"5.805e-16",55.952,4,"=2.052e-11",0.042,19.95,"5.805e-16"
420,"ex420","faces_ex420.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0551,0.0468,0.032,0.0323,0.0332,0.1502,0.1261,0.0859,0.0868,0.0893,0.0751,0.063,0.043,0.0434,0.0447,41.619,4,"=2e-08",0.032,12.171,"1.019e-09",36.57,4,"=2.209e-07",0.028,12.387,"6.829e-10",36.57,4,"=2.209e-07",0.028,12.387,"6.829e-10"
421,"ex421","faces_ex421.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.081,0.0768,0.0628,0.0634,0.063,0.217,0.206,0.168,0.17,0.169,0.1087,0.1032,0.0841,0.085,0.0846,63.665,4,"=4.915e-13",0.048,11.988,"1.429e-09",65.326,4,"=2.197e-13",0.049,12.354,"7.251e-10",65.326,4,"=2.197e-13",0.049,12.354,"7.251e-10"
422,"ex422","faces_ex422.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0718,0.067,0.0458,0.0459,0.0463,0.196,0.182,0.123,0.124,0.125,0.0978,0.0908,0.0616,0.0618,0.0623,40.313,4,"=3.729e-08",0.031,19.13,"2.625e-15",40.359,4,"=3.648e-08",0.031,19.548,"1.215e-15",40.359,4,"=3.648e-08",0.031,19.548,"1.215e-15"
423,"ex423","faces_ex423.lst",2,"Lognormal","(v)","(v)","(v)",0.0436,0.0493,0.0331,0.0332,0.033,0.1186,0.1331,0.0887,0.0891,0.0886,0.0593,0.0666,0.0444,0.0446,0.0443,47.884,4,"=9.98e-10",0.036,10.685,"1.597e-08",40.427,4,"=3.532e-08",0.031,10.694,"1.57e-08",40.427,4,"=3.532e-08",0.031,10.694,"1.57e-08"
424,"ex424","faces_ex424.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0802,0.0701,0.0575,0.0579,0.0596,0.215,0.19,0.155,0.156,0.161,0.1076,0.0949,0.0774,0.078,0.0803,52.078,4,"=1.329e-10",0.039,13.286,"1.29e-10",55.348,4,"=2.746e-11",0.042,13.301,"1.255e-10",55.348,4,"=2.746e-11",0.042,13.301,"1.255e-10"
425,"ex425","faces_ex425.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0863,0.0609,0.041,0.0412,0.0417,0.236,0.163,0.11,0.11,0.112,0.1179,0.0817,0.0549,0.055,0.0558,47.35,4,"=1.289e-09",0.036,33.086,"<",49.345,4,"=4.946e-10",0.037,33.978,"<",49.345,4,"=4.946e-10",0.037,33.978,"<"
426,"ex426","faces_ex426.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0434,0.0506,0.0303,0.0304,0.0303,0.1183,0.1366,0.0812,0.0815,0.0814,0.0591,0.0683,0.0406,0.0407,0.0407,83.964,4,"<2.2e-16",0.064,12.632,"4.336e-10",87.459,4,"<2.2e-16",0.066,12.551,"5.038e-10",87.459,4,"<2.2e-16",0.066,12.551,"5.038e-10"
427,"ex427","faces_ex427.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0831,0.0729,0.0582,0.0585,0.0592,0.222,0.196,0.156,0.157,0.159,0.111,0.0979,0.0779,0.0783,0.0795,45.733,4,"=2.798e-09",0.035,14.475,"1.426e-11",38.051,4,"=1.094e-07",0.029,14.53,"1.289e-11",38.051,4,"=1.094e-07",0.029,14.53,"1.289e-11"
428,"ex428","faces_ex428.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0758,0.0629,0.0389,0.0389,0.039,0.206,0.169,0.105,0.105,0.105,0.1032,0.0847,0.0523,0.0523,0.0524,89.011,4,"<2.2e-16",0.067,26.532,"<",91.852,4,"<2.2e-16",0.07,27.129,"<",91.852,4,"<2.2e-16",0.07,27.129,"<"
429,"ex429","faces_ex429.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0479,0.0458,0.0306,0.0307,0.0335,0.1308,0.1242,0.0821,0.0824,0.09,0.0654,0.0621,0.041,0.0412,0.045,71.474,4,"=1.108e-14",0.054,8.812,"5.081e-07",79.624,4,"<2.2e-16",0.06,8.9743,"3.767e-07",79.624,4,"<2.2e-16",0.06,8.9743,"3.767e-07"
430,"ex430","faces_ex430.lst",2,"Lognormal","(iii)","(iii)","(iii)",0.0679,0.0731,0.0594,0.06,0.0595,0.184,0.197,0.16,0.162,0.16,0.0918,0.0984,0.08,0.0808,0.0802,47.867,4,"=1.006e-09",0.036,9.9959,"5.71e-08",40.235,4,"=3.87e-08",0.03,9.854,"7.423e-08",40.235,4,"=3.87e-08",0.03,9.854,"7.423e-08"
431,"ex431","faces_ex431.lst",2,"Lognormal","(v)","(iii)","(v)",0.0803,0.0593,0.0403,0.0404,0.0401,0.22,0.159,0.108,0.108,0.108,0.1099,0.0797,0.054,0.0541,0.0538,42.463,4,"=1.337e-08",0.032,33.024,"<",45.704,4,"=2.838e-09",0.035,34.38,"<",45.704,4,"=2.838e-09",0.035,34.38,"<"
