"GEN","Nsamp","rep","theta","nll_cond","theta_hat","hit_upper"
"MN",125,1,49.2388263170673,251.497198720795,10000,TRUE
"MN",125,1,88.862381627434,251.48136143693,10000,TRUE
"MN",125,1,160.371874375133,251.472533249525,10000,TRUE
"MN",125,1,289.426612471675,251.467625193669,10000,TRUE
"MN",125,1,522.334507426684,251.4649005869,10000,TRUE
"MN",125,1,942.668455117885,251.463389324053,10000,TRUE
"MN",125,1,1701.25427985259,251.462551452394,10000,TRUE
"MN",125,1,3070.29062975785,251.462087040883,10000,TRUE
"MN",125,1,5541.0203300095,251.461829663254,10000,TRUE
"MN",125,1,10000,251.461687036324,10000,TRUE
"DMpure",125,1,1e-06,302.88126956264,10000,TRUE
"DMpure",125,1,1.80472176682717e-06,300.519853772254,10000,TRUE
"DMpure",125,1,3.25702065565979e-06,298.158606877705,10000,TRUE
"DMpure",125,1,5.87801607227492e-06,295.797664675198,10000,TRUE
"DMpure",125,1,1.06081835513945e-05,293.437271973205,10000,TRUE
"DMpure",125,1,1.91448197616996e-05,291.077869718506,10000,TRUE
"DMpure",125,1,3.45510729459222e-05,288.720250891507,10000,TRUE
"DMpure",125,1,6.23550734127392e-05,286.365837517997,10000,TRUE
"DMpure",125,1,0.000112533558260077,284.017166697282,10000,TRUE
"DMpure",125,1,0.000203091762090474,281.678723740514,10000,TRUE
"DMpure",125,1,0.000366524123707963,279.358309563374,10000,TRUE
"DMpure",125,1,0.000661474064123015,277.069103748125,10000,TRUE
"DMpure",125,1,0.00119377664171444,274.832269138603,10000,TRUE
"DMpure",125,1,0.00215443469003188,272.67893434831,10000,TRUE
"DMpure",125,1,0.00388815518030809,270.648551639898,10000,TRUE
"DMpure",125,1,0.00701703828670383,268.779814351845,10000,TRUE
"DMpure",125,1,0.012663801734674,267.095175406896,10000,TRUE
"DMpure",125,1,0.0228546386413499,265.590083711211,10000,TRUE
"DMpure",125,1,0.0412462638290135,264.239023927204,10000,TRUE
"DMpure",125,1,0.0744380301325169,263.014934656586,10000,TRUE
"DMpure",125,1,0.13433993325989,261.906553771039,10000,TRUE
"DMpure",125,1,0.242446201708233,260.924101379106,10000,TRUE
"DMpure",125,1,0.437547937507418,260.09315661495,10000,TRUE
"DMpure",125,1,0.789652286849972,259.438705624699,10000,TRUE
"DMpure",125,1,1.425102670303,258.965939232584,10000,TRUE
