"GEN","Nsamp","rep","FIT","conv","rmse_p","theta_hat","hit_upper","p1_hat","p2_hat","p3_hat"
"MN",250,9,"DM",FALSE,0.0277607260214786,10000,TRUE,0.234000056551969,0.266000442915647,0.499999500532384
"DMpure",250,9,"MN",TRUE,0.00979795897113272,NA,NA,0.2,0.312,0.488
"DMpure",250,9,"DM",TRUE,0.0102538355464166,1.63327591411188,FALSE,0.199741512821223,0.3126855807704,0.487572906408378
"DMstrong",250,9,"MN",TRUE,0.0726819555781672,NA,NA,0.29,0.298,0.412
"DMstrong",250,9,"DM",TRUE,0.069837899755146,0.217016683061146,FALSE,0.283733429169592,0.303493322815325,0.412773248015083
"MN",25,10,"MN",TRUE,0.0711805216802087,NA,NA,0.24,0.36,0.4
"MN",25,10,"DM",TRUE,0.0711803319559509,10000,TRUE,0.239999920933789,0.359999815970337,0.400000263095874
"DMpure",25,10,"MN",TRUE,0.0326598632371091,NA,NA,0.16,0.34,0.5
"DMpure",25,10,"DM",TRUE,0.0326600891515084,10000,TRUE,0.159999914904779,0.34000046827703,0.499999616818191
"DMstrong",25,10,"MN",TRUE,0.0432049379893858,NA,NA,0.14,0.32,0.54
"DMstrong",25,10,"DM",TRUE,0.0350034485381284,0.632077334752898,FALSE,0.157436272318884,0.299393306812787,0.543170420868329
"MN",125,10,"MN",TRUE,0.0181842422626478,NA,NA,0.224,0.296,0.48
"MN",125,10,"DM",TRUE,0.0182021190214006,9715.3724550998,FALSE,0.22402955806212,0.295979654020023,0.479990787917857
"DMpure",125,10,"MN",TRUE,0.0117756811551038,NA,NA,0.204,0.284,0.512
"DMpure",125,10,"DM",TRUE,0.0117758974098898,10000,TRUE,0.204000350168587,0.283999627109644,0.51200002272177
"DMstrong",125,10,"MN",TRUE,0.258632300122523,NA,NA,0.436,0.424,0.14
"DMstrong",125,10,"DM",TRUE,0.258518138672823,2.48690748570851,FALSE,0.435381097525563,0.424578405562856,0.140040496911581
"MN",250,10,"MN",TRUE,0.00864098759787715,NA,NA,0.208,0.288,0.504
"MN",250,10,"DM",TRUE,0.00864087849184673,10000,TRUE,0.208001314272407,0.28800050550441,0.503998180223183
"DMpure",250,10,"MN",TRUE,0.00711805216802087,NA,NA,0.204,0.29,0.506
"DMpure",250,10,"DM",TRUE,0.00711417291732946,10000,TRUE,0.203993724555019,0.290005962747509,0.506000312697472
