"p1","p2","p3","rmse_i","rmse_ii","rmse_iii","rmse_iv","N1"
0.594594594594595,0.351351351351351,0.0540540540540541,0.0151113268611066,0.0151160898024162,0.0151110825261409,0.0151166045345449,265
0.567567567567568,0.378378378378378,0.0540540540540541,0.010746749862225,0.010769655963408,0.0107683743810019,0.0107690981758445,443
0.540540540540541,0.405405405405405,0.0540540540540541,0.0729496074499693,0.0729541772566302,0.0729540247639798,0.0729542256122819,337
0.513513513513513,0.432432432432432,0.0540540540540541,0.182230411038306,0.182231387207427,0.182228693125567,0.18223044951728,204
0.486486486486487,0.459459459459459,0.0540540540540541,0.395931842019753,0.420755409140031,0.0490835933834232,0.0490836487169274,840
0.459459459459459,0.486486486486487,0.0540540540540541,0.112459810388981,0.112432698466301,0.112430198950997,0.112432894307785,122
0.432432432432432,0.513513513513513,0.0540540540540541,0.024377030449917,0.0243770328354054,0.0243770051702764,0.0243765279791318,294
0.405405405405405,0.540540540540541,0.0540540540540541,0.0861961034781556,0.0861971433059118,0.0862189075508637,0.0861960509011286,191
0.378378378378378,0.567567567567568,0.0540540540540541,0.333011894577596,0.469737294709986,0.100367816327503,0.100367738993387,815
0.891891891891892,0.027027027027027,0.0810810810810811,0.0244586906080797,0.0244587155280175,0.0244582927450342,0.0244587596377236,176
0.864864864864865,0.0540540540540541,0.0810810810810811,0.0260851579559158,0.0260774224268317,0.0260774137920471,0.0260775639427512,295
0.837837837837838,0.0810810810810811,0.0810810810810811,0.0527521855645114,0.0527599504655799,0.0527584699558588,0.0527585150362446,918
0.810810810810811,0.108108108108108,0.0810810810810811,0.0102610149012246,0.0102613342641735,0.0102614851504508,0.010261007367826,566
0.783783783783784,0.135135135135135,0.0810810810810811,0.035346975485948,0.0353511726170935,0.0353455796010209,0.0353456750737766,280
0.756756756756757,0.162162162162162,0.0810810810810811,0.0277021489796391,0.027702312568305,0.0277016172866273,0.027701772346912,97
0.72972972972973,0.189189189189189,0.0810810810810811,0.208629379418658,0.208629376236283,0.20862724857842,0.208629369826253,61
0.702702702702703,0.216216216216216,0.0810810810810811,0.0354361700018381,0.0354345488687797,0.0354336753037599,0.035434401165748,125
0.675675675675676,0.243243243243243,0.0810810810810811,0.114366927679033,0.114364754390878,0.114366105392547,0.114365250855302,711
0.648648648648649,0.27027027027027,0.0810810810810811,0.0443099244540795,0.0443090630270429,0.044307897845107,0.0443078797322999,686
0.621621621621622,0.297297297297297,0.0810810810810811,0.138300765726003,0.524372299689933,0.0691268303437774,0.0691267884712261,452
0.594594594594595,0.324324324324324,0.0810810810810811,0.076756536541092,0.0767776195043287,0.0767825411153597,0.0767781734953624,95
0.567567567567568,0.351351351351351,0.0810810810810811,0.0357299488710038,0.0357300670392225,0.0357291974130627,0.0357300850141204,563
0.540540540540541,0.378378378378378,0.0810810810810811,0.0288120910020768,0.028812050358048,0.0288117947900113,0.0288116232192882,258
0.513513513513513,0.405405405405405,0.0810810810810811,0.047844389323197,0.0478445511151304,0.047843357547087,0.0478445732887866,227
0.486486486486487,0.432432432432432,0.0810810810810811,0.0659138738595106,0.365460509763324,0.0659125067894558,0.0659137787899702,252
0.459459459459459,0.459459459459459,0.0810810810810811,0.0658331859735155,0.0658345558736503,0.0658342602485125,0.0658346124152882,824
0.432432432432432,0.486486486486487,0.0810810810810811,0.433888598483903,0.360101506892517,0.0465132440120372,0.0465134861610615,564
0.405405405405405,0.513513513513513,0.0810810810810811,0.0750773172583459,0.0750777969856327,0.0750771834074746,0.0750771557274144,779
0.378378378378378,0.540540540540541,0.0810810810810811,0.035459053676245,0.0354579720109444,0.0354578031790405,0.0354583068405509,128
0.351351351351351,0.567567567567568,0.0810810810810811,0.0695898069504389,0.0695920378736428,0.0695906996921711,0.0695899094565643,189
0.864864864864865,0.027027027027027,0.108108108108108,0.0540483114484082,0.0540489502265945,0.0540488668317284,0.0540490365517408,67
0.837837837837838,0.0540540540540541,0.108108108108108,0.0251471950690331,0.0251483092550668,0.0251474139869537,0.0251469280175781,631
0.810810810810811,0.0810810810810811,0.108108108108108,0.0246011011099517,0.0245875592427618,0.0245944024229819,0.0245948738768792,232
0.783783783783784,0.108108108108108,0.108108108108108,0.662324047558118,0.688349603410276,0.056707441776959,0.0567074517417668,357
0.756756756756757,0.135135135135135,0.108108108108108,0.066321635981079,0.0663217628907416,0.0663227152551512,0.0663216541025407,471
0.72972972972973,0.162162162162162,0.108108108108108,0.0510368248920188,0.0510474011615649,0.0510230509987098,0.0510373165418697,206
0.702702702702703,0.189189189189189,0.108108108108108,0.0598322836631726,0.0598321143313413,0.059829855388122,0.0598321988878714,523
0.675675675675676,0.216216216216216,0.108108108108108,0.0346457748231742,0.0346446740107486,0.0346457225350079,0.0346451913412912,103
0.648648648648649,0.243243243243243,0.108108108108108,0.0234768006258727,0.0234739442711553,0.0234772122298907,0.0234772631409049,500
0.621621621621622,0.27027027027027,0.108108108108108,0.0547333032845587,0.0547327205711687,0.0547317873724612,0.0547327358564768,661
0.594594594594595,0.297297297297297,0.108108108108108,0.0193042112412322,0.0193237296656521,0.0193254332546816,0.0193237492455356,107
0.567567567567568,0.324324324324324,0.108108108108108,0.0318675074702883,0.03186941432093,0.0318563665214191,0.0318674354530566,85
0.540540540540541,0.351351351351351,0.108108108108108,0.0625825828135517,0.0625838056027692,0.0625833390484908,0.0625836568540762,73
0.513513513513513,0.378378378378378,0.108108108108108,0.0719494851948277,0.361040880160815,0.0719527798395351,0.0719473889552233,170
0.486486486486487,0.405405405405405,0.108108108108108,0.0911500928204456,0.0911466644154147,0.0911518047845284,0.0911527072593948,76
0.459459459459459,0.432432432432432,0.108108108108108,0.0566392059052107,0.0566475651487774,0.0566464207015174,0.0566472202942175,151
0.432432432432432,0.459459459459459,0.108108108108108,0.0798100675808106,0.0798338477571083,0.0798322656547977,0.0798325754750143,54
0.405405405405405,0.486486486486487,0.108108108108108,0.0957374401285228,0.0842464037033628,0.0957511377944365,0.0957523604262921,405
0.378378378378378,0.513513513513513,0.108108108108108,0.343978837647797,0.464279963146879,0.11869181095889,0.118691333409397,829
0.351351351351351,0.540540540540541,0.108108108108108,0.0213313051744311,0.0213302057695865,0.0213283973827852,0.0213311962514681,593
0.324324324324324,0.567567567567568,0.108108108108108,0.345809161893687,0.31768690415262,0.333376116320757,0.0981461438406515,985
0.837837837837838,0.027027027027027,0.135135135135135,0.109663504073153,0.109663275043822,0.109663880363828,0.109663985772722,61
0.810810810810811,0.0540540540540541,0.135135135135135,0.0463783003189011,0.0463725091002261,0.0463729946988942,0.0463730700297383,186
0.783783783783784,0.0810810810810811,0.135135135135135,0.0731102380287402,0.0730676561492852,0.0731155567810073,0.0731098544959213,205
0.756756756756757,0.108108108108108,0.135135135135135,0.0604202108473947,0.0604450283285216,0.0604438920724698,0.060444236621019,217
0.72972972972973,0.135135135135135,0.135135135135135,0.0450295641151529,0.0450300733814517,0.0450289499558707,0.0450296369587581,347
0.702702702702703,0.162162162162162,0.135135135135135,0.635956390232251,0.0768435591307832,0.0768426776555471,0.0768435334569188,281
0.675675675675676,0.189189189189189,0.135135135135135,0.0927365270213966,0.0927344752127556,0.0927378020852647,0.0927372507072532,113
0.648648648648649,0.216216216216216,0.135135135135135,0.0183128387431406,0.0182935620804235,0.01829705109886,0.0182935435977813,114
0.621621621621622,0.243243243243243,0.135135135135135,0.0903129628910837,0.0903140061181011,0.0903182523066755,0.0903150344854208,74
0.594594594594595,0.27027027027027,0.135135135135135,0.0763590747251125,0.0763580846151614,0.0763548773936306,0.076358332760145,193
0.567567567567568,0.297297297297297,0.135135135135135,0.0273457073180187,0.526801849038516,0.0273449488362068,0.0273457201062509,256
0.540540540540541,0.324324324324324,0.135135135135135,0.0950678959288289,0.0950685607594646,0.0950687143590305,0.0950685342163397,63
0.513513513513513,0.351351351351351,0.135135135135135,0.483977514182461,0.35413672607905,0.0355841883874933,0.0355867927705533,317
0.486486486486487,0.378378378378378,0.135135135135135,0.0272651899401666,0.376442921511584,0.0272648076983548,0.0272650943551666,529
0.459459459459459,0.405405405405405,0.135135135135135,0.351865621008797,0.0444234567216323,0.0444218450874279,0.0444234276483945,160
0.432432432432432,0.432432432432432,0.135135135135135,0.0525438809811662,0.0525390617184679,0.0525509867829011,0.052538199227901,59
0.405405405405405,0.459459459459459,0.135135135135135,0.0695794953713489,0.0695806500696706,0.0695768878388592,0.0695807147816675,59
