"p1","p2","p3","rmse_i","rmse_ii","rmse_iii","rmse_iv","rmse_v","N1"
0.405405405405405,0.432432432432432,0.162162162162162,0.589069588116326,0.0731718257680817,0.0725751424541538,0.0731726271527108,0.0731725059744578,639
0.378378378378378,0.459459459459459,0.162162162162162,0.117226424651891,0.117228948048014,0.108664269663067,0.117228536045982,0.117226930018992,103
0.351351351351351,0.486486486486487,0.162162162162162,0.115056938326962,0.115044621316736,0.108906825807015,0.115044705767116,0.115015733261407,58
0.324324324324324,0.513513513513513,0.162162162162162,0.0187490774779458,0.0187478486709169,0.0207873735077849,0.018747926522541,0.0187467447720699,215
0.297297297297297,0.540540540540541,0.162162162162162,0.0676593214800952,0.0676607569025008,0.0652066974755184,0.0676596105086939,0.0676595912273621,248
0.27027027027027,0.567567567567568,0.162162162162162,0.541644660052116,0.0396019904269173,0.0359867143358718,0.0396008676969206,0.0396021810860306,767
0.783783783783784,0.027027027027027,0.189189189189189,0.0536609396018952,0.0536545221381776,0.0429631862995428,0.0536578556450138,0.0536488314067898,73
0.756756756756757,0.0540540540540541,0.189189189189189,0.641097184672331,0.037574790289669,0.0423428969500659,0.0375754664496209,0.0375746643045,513
0.72972972972973,0.0810810810810811,0.189189189189189,0.207761600969399,0.207754284837039,0.217221640504745,0.207759613908165,0.207806024085331,134
0.702702702702703,0.108108108108108,0.189189189189189,0.0387798978899075,0.0387791302756836,0.0325026589503635,0.0387789275278289,0.0387780362437662,285
0.675675675675676,0.135135135135135,0.189189189189189,0.602692531031933,0.137930073810238,0.140361562046579,0.13792962223393,0.137931904108689,79
0.648648648648649,0.162162162162162,0.189189189189189,0.0890851839979367,0.0890852136609259,0.083871411118396,0.0890853009347821,0.0890674058449098,58
0.621621621621622,0.189189189189189,0.189189189189189,0.0482356326892233,0.0482362758355005,0.0510422727511402,0.0482363856699946,0.0482364817617116,992
0.594594594594595,0.216216216216216,0.189189189189189,0.0489121942130164,0.286877177082715,0.0491398542010374,0.0489108564147854,0.048912864864779,507
0.567567567567568,0.243243243243243,0.189189189189189,0.207034620211705,0.207034535339011,0.198259037579424,0.207034725480915,0.207034245969622,318
